Object_name,Contour1,contour2,contour3,radius,area,aspect_ratio,isConvex,hu0,hu1,hu2,hu3
M20_100,4,10,4,51.7261,2111.5,3.16129,1,0.395278,0.124962,0.000621713,0.000160202
M20_100,4,10,4,50.2198,2014.5,3.06452,1,0.385222,0.117444,0.000336391,4.70176e-05
M20_100,4,10,4,54.9025,2352.5,3.09091,1,0.415402,0.140655,0.000798037,0.000254285
M20_100,4,12,4,50.1696,1872,3.21817,1,0.419069,0.144337,0.000523195,0.000134524
M20_100,4,9,4,47.2454,1833.5,3.09617,1,0.396899,0.126496,0.000334919,5.6088e-05
M20_100,4,10,4,49.3296,2022.5,2.98935,1,0.381959,0.11544,0.000273239,4.32256e-05
M20_100,4,11,4,51.9614,2186.5,3.25806,1,0.414907,0.139996,0.000861266,0.00026873
M20_100,4,14,4,44.5561,1828.5,2.62535,1,0.341413,0.0846226,0.00087069,0.000208857
M20_100,4,10,4,47.1134,1834,3,1,0.391466,0.120307,0.00145256,0.000445676
M20_100,4,9,4,52.9349,2185,3.22581,1,0.42546,0.149222,0.000897471,0.000295787
M20_100,4,9,4,53.8415,2417.5,3.06061,1,0.395537,0.124361,0.000559992,0.000125022
M20_100,4,9,4,52.714,2225.5,3.22581,1,0.415724,0.140893,0.00111181,0.000386628
M20_100,4,12,4,47.4052,1835.5,2.9772,1,0.389791,0.119182,0.00140129,0.00044714
M20_100,4,9,4,54.212,2491.5,3.09091,1,0.388456,0.119418,0.000896616,0.000276681
M20_100,4,10,4,45.2152,1842,2.74194,1,0.343621,0.0860914,0.000857236,0.000188707
M20_100,4,11,4,48.421,1779.5,3.12608,1,0.403678,0.132454,0.00012781,1.31649e-05
M20_100,4,9,4,48.4346,1859.5,3.2,1,0.420846,0.145676,0.00054748,0.000140025
M20_100,4,9,4,50.4726,1993.5,3.19421,1,0.413779,0.139564,0.000824005,0.000265035
M20_100,4,8,4,54.7549,2506,2.91429,1,0.389379,0.119401,0.00120601,0.000374868
M20_100,4,9,4,52.4618,2174,3.22581,1,0.413644,0.139428,0.00125015,0.000467911
M20_100,4,9,4,50.8626,1954.5,3.27586,1,0.418371,0.143295,0.000932426,0.000313923
M20_100,4,10,4,50.1061,2216,2.87879,1,0.368689,0.104879,0.000378036,7.07958e-05
M20_100,4,9,4,53.7526,2483,2.97059,1,0.385788,0.116863,0.000911884,0.000260883
M20_100,4,9,4,50.1696,1997,3,1,0.38755,0.118752,0.000274209,2.6347e-05
M20_100,4,10,4,52.1194,2221,3.19355,1,0.412039,0.137802,0.000964408,0.00032058
M20_100,4,10,4,54.7089,2561.5,3.12121,1,0.383589,0.116192,0.000314835,5.92306e-05
M20_100,4,10,4,54.9701,2361,3.15704,1,0.419932,0.143715,0.00180241,0.000701097
M20_100,4,10,4,50.2092,1933.5,3.31034,1,0.407892,0.134821,0.000638262,0.000175711
M20_100,4,9,4,52.6233,2245,3.22581,1,0.405792,0.132982,0.00105357,0.000362415
M20_100,4,10,4,49.3794,2084.5,2.9375,1,0.368947,0.104639,0.000291129,2.67799e-05
M20_100,4,11,4,49.5097,1885,3.2327,1,0.416233,0.14217,0.000417978,9.17508e-05
M20_100,4,8,4,48.3689,1900,2.93548,1,0.393334,0.122005,0.00155309,0.000509839
M20_100,4,9,4,53.7108,2412,3.06061,1,0.395506,0.124069,0.000608593,0.000140432
M20_100,4,9,4,50.1696,2009.5,3,1,0.387258,0.1187,0.000312265,4.0854e-05
M20_100,4,9,4,53.7108,2412,3.06061,1,0.395506,0.124069,0.000608593,0.000140432
M20_100,4,9,4,50.8626,1954.5,3.27586,1,0.418244,0.1432,0.000866319,0.000282704
R20,4,9,4,24.5693,1080.5,1.51388,1,0.182189,0.0055468,7.81978e-06,3.78367e-07
R20,4,7,4,25.1455,1114.5,1.46429,1,0.180083,0.00485117,1.76194e-06,2.0229e-07
R20,4,8,4,24.7254,1114,1.46429,1,0.180006,0.00484374,2.19157e-06,2.18839e-07
R20,4,7,4,26.5862,1064.5,2.08696,1,0.20916,0.0162339,3.99138e-07,2.2454e-08
R20,4,8,4,24.4286,1047.5,1.49091,1,0.180467,0.00478041,2.90585e-06,9.81232e-08
R20,4,9,4,23.0315,939,1.58161,1,0.184875,0.00641358,1.07139e-06,1.4745e-08
R20,4,6,4,24.7254,1039.5,1.42857,1,0.182403,0.00559053,2.24108e-06,2.37768e-07
R20,4,7,4,24.8538,1171,1.41379,1,0.175749,0.00348749,6.08634e-06,2.0119e-08
R20,4,7,4,26.0419,1040.5,1.91667,1,0.200735,0.0131136,2.36514e-06,1.05348e-06
R20,4,6,4,24.7254,1021.5,1.53729,1,0.182963,0.00593961,1.12212e-06,1.03721e-07
R20,4,7,4,24.5693,1086.5,1.51658,1,0.1831,0.00566416,3.56783e-06,2.92459e-07
R20,4,7,4,26.0419,1040.5,1.91667,1,0.200611,0.0130396,2.70729e-06,1.14128e-06
R20,4,9,4,26.5862,1065.5,1.98796,1,0.209091,0.0162089,2.12879e-07,2.51708e-08
R20,4,8,4,26.0419,1047.5,1.91667,1,0.200965,0.0130084,8.36137e-06,1.55944e-06
R20,4,8,4,26.5862,1062.5,2.08696,1,0.208923,0.0160908,1.31043e-07,6.91693e-09
R20,4,7,4,25.185,1036.5,1.95706,1,0.206887,0.0152868,2.80025e-06,5.04234e-07
R20,4,7,4,25.0324,1149.5,1.41379,1,0.178877,0.00419656,2.36101e-06,1.10439e-07
