Object Name,Object Class
Pickup_Black_ White,Pickup
Pickup_Choco_Milk,Pickup
Duplo_White,Duplo
Duplo_Classic,Duplo
Twix_Spekulatius,Twix
Twix_White,Twix
Twix_Classic,Twix
Twix_Mini,Twix
Mars,Mars
Mars_Mini,Mars
Snickers,Snickers
Snickers_Mini,Snickers
Kitkat_Classic,Kitkat
Kitkat_White,Kitkat
Kitkat_Chunky_White,Kitkat
Kitkat_Chunky_Classic,Kitkat
Kitkat_Mini,Kitkat
Lion_Classic,Lion
Lion_Mini,Lion
M&M_Cripsy,M&M
M&M_Peanut,M&M
Bounty,Bounty
Bounty_Mini,Bounty
Milkyway,Milkyway
Milkyway_Mini,Milkyway
Rittersport_Nugat,Rittersport
Rittersport_Knusperkeks,Rittersport
Rittersport_Joghurt,Rittersport
Rittersport_Knusperflakes,Rittersport
Rittersport_Nuss_Splitter,Rittersport
Rittersport_Marzipan,Rittersport
Rittersport_Edel_Vollmilch,Rittersport
